0,1,2,3,4,Labels
0.37586717007621,1,0.0973676684871409,0.168881435619853,0.818412306343532,5
1,1,0.507866790698933,1,0.0547050412867355,0
0,0,1,1,0.102093225398908,4
1,0,0.0986357770018559,0,1,1
0.549791397508203,0,0.936224321277548,0.516533705080022,1,9
0,0,0,0.763524467838098,0.466069321080623,2
0,0,0.111153308201905,0,1,1
0,1,0,0,0.498716993499474,3
0,0,0.0961114980534883,0,1,1
1,0,0.610484524340297,0.86511824096185,0.247120605406633,4
0,0.94852978213853,0,0,1,3
1,0,0,0,0,5
0,1,0.826463297388648,0.455252680825222,0.921446444116988,3
1,0,0,1,0.216916061963605,6
0,0,0.0493446074710149,0,1,1
1,0,1,0,0.087862632928747,7
0,0.285090250345833,0,0.149576078639223,0.453181436998889,2
1,0.929773146581569,0.0840872693551602,0,0.723630226333359,8
0.689007446615322,0.248045877991356,0.0624607097442294,0.934355988221314,1,6
1,0,0.787393076990942,0,1,9
0,0,1,1,0,4
0.592487146461899,1,0,1,0,0
1,0,0.746898811694035,0.25038458338603,1,9
1,0,0.0845110832218376,0,1,1
0.162001128672858,0.367329904589141,0,0.0921543579423543,0.947035681118392,1
0,0.873355429789295,0,0.182506422708834,0,2
0.432563660412309,0,1,0.699284977711685,1,4
0,1,0.0507121423127615,0.0732106700788442,0.153737359988081,3
0,0.301335289853266,0.448770047100537,0,0.176613784439462,2
1,0,0.0897176068344808,0.0545081450977099,0.250598725294827,7
0,0.325186498614525,0.87599279846349,0.515095268088531,0.754643278214853,3
1,1,0,0,0.634631531462226,8
0.560734461750562,0,0,1,1,6
1,0,0.74456522043524,0,0.530594488579031,9
1,1,0.295483734040595,0.613231006326989,0.859235477701233,0
1,0.610769945182511,0,0,0,5
0.702988062518736,0.051669919940967,0,0.696022264817226,1,6
1,1,0.143206667237109,0.873879042475405,0.771910214984021,0
0,0,0.755003551158647,0,0.62494148489371,7
0.892698443837989,0,0,1,0.856168904200534,6
0,0,0,0,1,1
0.935935393220482,1,0.437799341578561,0,1,8
0.392209135676361,0,1,0,1,7
1,0,1,0,1,9
0,0.351673039007645,0.921913425118915,0,1,3
0.739198218373666,0,1,0.275955946724029,0.827523196190588,9
0.840918603132832,1,1,0,1,8
1,0.848231036790663,0,0,0,5
0,0.179868685588444,0.711084021764011,0.0699380773348843,1,9
0,1,0,0.058608631382807,0.839155068265534,3
0,0.88788375122331,0.104195575150268,0.488432789374957,1,3
0.162665304669345,1,0.641997300205318,1,0,0
0.134699828483636,0,1,0,0,7
0.933744086462629,0,0.356613606289812,0.283688245528454,1,4
0.665485237918927,0,1,0.125730290190677,0.356156582487164,9
1,0.537794439210047,0.798186679413811,0,0.635131282903905,8
0.080613370501203,0.561106314466269,0.867469440342813,1,0,0
1,0,1,0.258827503779909,0.84610805421683,9
0,0,1,1,0.597437114499787,4
1,0,0,0,1,1
0,0,0.205443172715725,1,0,4
1,0,0.272999497960333,0.210556122867675,0.924641232672162,4
0.84415668253423,0.135913961050813,0.0650599463793764,0.878229994552473,1,6
0.613714796754428,1,0.0766905693147508,1,0,0
0.520647656686931,0,0.669913504932075,0.783012294906286,0,4
1,0.102345117733699,0,0,0,5
1,0.272301146564373,0,0.945555410635091,1,6
0.463394211837431,0,0,0,1,1
0,0.460220663136484,0.916582133353165,0.903544185731325,0.0883263029597747,0
0.798309095112186,0.611436084639295,0.567742530809403,1,0.798857562242371,0
0,0.0629496092264396,0.0841891348037474,0,0.76693018894141,1
1,0,0.839656937690769,0,0,7
0,0,0,0,1,1
1,0,0,1,1,6
0,1,0.339489005180282,0.0988724785743595,1,3
0.87213295297732,1,0.401291333891302,1,0.338683796503483,0
0,0.326119474611728,0,0,0,2
0.930591247850936,0,0,0,1,1
0.776888616613155,0.0869676350797254,0.15304928271048,0,1,1
1,0,0.372831382981304,0,0.055133066440847,7
0.207660884322326,0.610793303387003,0.72893921732456,1,0.830776599162051,9
1,1,0.472536539960946,0.889639250122703,0.633666382051766,0
0,0.215288409273081,0.0568906686907668,0.28131892002832,0.189734098704597,2
1,0,0,1,0.221030992991529,6
0.223302033965344,0,1,0,0.559325908762684,7
0.806876906952406,1,0.208183863548818,0,1,8
0,0.53604754265863,1,0.757656337462577,1,3
1,0,1,0.350443624633066,0.234174308607213,9
0.0896206694962332,0.537097460343812,0.868361336225459,1,0,0
1,0,0.933230271655065,0.802470379193223,0,4
1,0,0,1,0.158484713964353,6
1,0,1,0,0,7
0,0,0.636609189594734,1,0.947427689096047,4
0.936291054175844,0.0527091262690709,0,1,0.934163608320263,6
1,0.62084635484944,0.693398405406676,0,0.756202229999865,8
1,1,0.643746346903099,1,0.306810556285932,0
0.791103237440908,0,1,0,1,7
1,1,0.632211585937907,0,0.748481587416371,8
0,1,0.573555126874073,0.0843182889483171,1,3
0.852317861687712,0,0.124187790691392,0,1,1
0.338002013311775,0.429329176834387,0.670999053667197,0,0,5
0.593883942384298,0,1,0,0,7
0,0,0,0,1,1
0.884789231163591,0,1,0,0.227756482201595,7
0,0,0.258144067019119,0,1,1
0.870002946659276,0.106031402971923,0,0,1,1
0.602097709577914,0.227538869772667,0.0810041290664506,0.934109261117211,1,6
0,1,0,0.0931146428406588,0.681217961017334,3
0,0.355092325452672,0.763098075097338,1,0,0
0.0822158545103131,0,0,0,0,2
0,0,0.713666643964144,0.513818539381298,0.70406867000726,9
0,1,0.470639080446903,0,0.121503189795114,3
0,0,0,0,1,1
1,0.142192394112746,0,0,1,1
0,1,0,1,0,0
1,0,1,1,0.345408385406593,4
0.133116486572084,0,1,0.648509719999398,0.81961919966215,9
0,0.249426536234744,0,0.530742516737573,0,2
0.92122723932734,1,1,1,0.104751814278296,0
0.735255671836959,1,0,1,0,0
0,0.243632788183486,0.414311476207796,0,0.168340201751927,2
0,0.830919265643552,0.280507670711351,1,0,0
0,0.394268466553814,0,0.0489510454857235,0,2
1,0,0.794874071469303,0,0,7
0.146337449924093,0,0,0,1,1
0.945531499161766,1,0.25185983982807,0,1,8
0.75047204225676,0.16965130864322,0.073599267119729,0.933513101359153,1,6
1,0,0.152646038658889,0.605243991060327,0,4
0,0,0,0,1,1
1,0.277314769302657,0,0.509209396268196,1,6
0,1,0.297561362711285,0,1,3
1,0,0.371889381500875,0.756887886566491,0.23412157302672,4
0.138827359006854,0.1900601283264,0.061074662886609,0,1,5
0.692700996963272,0,1,0.0881145180143807,1,9
0,0.186747178242434,0.78204187447646,0.137623154269397,0.93348297528594,1
0,1,0,0,0.881210562896438,3
0,0.921470144513259,0.893721585138934,0.118351072805686,1,3
1,0.380203252569595,0.340472860345292,0,1,8
